% Model:              RylanSaddleCoilTest4.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 19 2025, 13:51
% Dimension:          3
% Nodes:              199
% Expressions:        3
% Description:        Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component
% Length unit:        m
% x                       y                        z                        mf.Bx (T)                mf.By (T)                mf.Bz (T)
0                         0.12175167983937146      0                        2.947542361201366E-10    3.6854501250683334E-10   1.2713378278836989E-5
0                         0.115760348861521        0                        -9.793530211728165E-10   -8.55964392592452E-10    1.274746855779936E-5
0                         0.11542448992335871      0                        -1.885888948804929E-9    -6.643061039494475E-10   1.2748270468298302E-5
0                         0.12349913622393466      0                        -2.4537156190224404E-9   3.1498039949340643E-9    1.2697892889293256E-5
0                         0.10535986446354983      0                        -1.8164546179943447E-9   2.8666432270973575E-9    1.2767253978263035E-5
0                         0.10539099077802158      0                        5.424721303686154E-10    5.1153802243694475E-9    1.277351017313145E-5
0                         0.106777551692642        0                        -1.297640860142164E-10   4.289432714110613E-9     1.2773939164585168E-5
0                         0.11172034855344101      0                        -9.69176045415388E-10    1.1820737102768958E-9    1.2760820179361686E-5
0                         0.10531727524150258      0                        8.781505876893362E-10    -2.125360094171539E-9    1.2776890765274958E-5
0                         0.10534476507352256      0                        -1.5379805639174865E-9   8.334512732120048E-10    1.2769739962584735E-5
0                         0.11540579603946818      0                        -2.6155461311421574E-9   1.9842611991010767E-9    1.2749366093664069E-5
0                         0.0913598233584404       0                        -1.0410899311207482E-8   7.893654039503372E-10    1.275266037090443E-5
0                         0.0913637687433064       0                        -7.673630592629028E-9    1.0762514340585834E-9    1.2755840275848778E-5
0                         0.09417997148119422      0                        -6.38804471206972E-10    3.596473896770921E-9     1.2774412928870583E-5
0                         0.09137109832226628      0                        -3.765024716124895E-11   6.900815178063726E-9     1.2773475334034784E-5
0                         0.09136613427733509      0                        -1.1137348798377922E-9   4.487169451743667E-9     1.2766983272654005E-5
0                         0.09135618707150137      0                        -3.962655805674396E-9    -9.816741171315115E-10   1.2757611411918924E-5
0                         0.09135066612203652      0                        2.184375287245951E-9     -6.515241671413909E-9    1.276892410904109E-5
0                         0.0913558332953271       0                        2.3672749576719643E-9    -5.47158919002551E-9     1.2765173694613469E-5
0                         0.08811834808270308      0                        7.259146778556755E-10    -2.2749865388209025E-9   1.2759965962430453E-5
0                         0.08518772591995169      0                        9.78045974023203E-10     -3.523618648559458E-10   1.2752028331840579E-5
0                         0.0790151870796523       0                        1.7302158010868514E-9    4.165312144539666E-9     1.2719743246360155E-5
0                         0.06279427694992837      0                        1.6353139676953267E-9    -4.791531293854688E-9    1.250128761783144E-5
0                         0.06279448504183816      0                        4.375188555500706E-9     -3.7581326172414406E-9   1.2502438909556355E-5
0                         0.0627929768071456       0                        -4.810046615650604E-10   -9.838271862085542E-9    1.2507877768718663E-5
0                         0.046773153755547636     0                        1.5457740983269687E-10   5.247483346280607E-9     1.1892085945414692E-5
0                         0.04677617583215832      0                        3.8419778455944825E-9    7.541893276338818E-9     1.1891984902669277E-5
