% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 28 2025, 16:23
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
-0.061923821434912804     1.3285955245389336
-0.060681821373015594     1.3853174185286856
-0.06001951481645687      1.415564826272334
-0.0584384354693299       1.487772403283353
-0.05561237030267728      1.6168382332368054
-0.05415984848859553      1.6831746134703924
-0.0540164876060366       1.6897218762542314
-0.05163636078064941      1.798421791506688
-0.05059779866141337      1.8458527154142912
-0.04930091917044177      1.9050809419346773
-0.04801346039561631      1.963878926236117
-0.04509715858421316      2.097065845676261
-0.04483428609196893      2.1266249674679187
-0.04368988970879426      2.2143896912665646
-0.04317094268052739      2.245056728959371
-0.03957113036689148      2.500829399747669
-0.0391894291025318       2.5281073044021127
-0.03861401491830706      2.5697835841665624
-0.038475478906049985     2.5798175140948896
-0.03835039811873337      2.5888769047534415
-0.0375841518516636       2.644374830717647
-0.037218682174795216     2.6708451835802705
-0.03705889157866809      2.6824185472033677
-0.03333455441658861      2.952166012176056
-0.03247262651640552      3.01459399759879
-0.03161682413154443      3.0765783222685132
-0.030596128083337004     3.1505056171211168
-0.02805509391487016      3.3345484401855527
-0.027361101181147436     3.384813164479915
-0.02488325014435548      3.5642797397835713
-0.02413336458800592      3.6185926870388534
-0.022775633413151704     3.7493119750238844
-0.02225523225353916      3.8172730284396867
-0.02148407497913316      3.8810147400278954
-0.019553642414275173     4.062000330719524
-0.019018776162750738     4.11293512088916
-0.016061398013871315     4.394563350443977
-0.016061398013871315     4.3692487940776585
-0.015309494828580258     4.440958776960383
-0.014783492390071429     4.491124312363906
-0.013719222776826485     4.592625086986715
-0.013501143522830106     4.613423588545269
-0.012500563066743643     4.708850245570228
-0.01156128795875213      4.79843013196234
-0.010559440837470475     4.893977592491322
-0.00903593665466741      5.039276164179469
-0.008016752368479893     5.136477092632183
-0.007800036581546284     5.157145558566941
-0.007627930933106156     5.173559497681835
-0.0074853706722007324    5.187155654832478
-0.006335389284869524     5.2968308726187345
-0.005722920097157932     5.355242854142659
-0.005038353504128622     5.420530858806746
-0.003099510096348922     5.618232514706422
-0.0013812551481490552    5.774064355822106
-9.932985812513583E-4     5.806360718007534
4.731659577972081E-5      5.892989190163055
2.787152361247202E-4      5.912252517389496
0.0010571880744110799     5.977058330416105
0.002647663676368636      6.109461234428433
0.002961779871607836      6.135610580193802
0.004688582579532899      6.279362356646215
0.005213886245171082      6.32309250298308
0.006118695991206968      6.398415530765682
0.006450208588698814      6.426013081190577
0.006843307643942625      6.458737541983764
0.009098449922941078      6.646472195902923
0.009370584415931086      6.669126675550054
0.009741677291413583      6.700019179849843
0.01335086520442238       7.005028788405596
0.013399844903636719      6.988073770372974
0.013574804552698973      6.965715944772421
0.013623345501611744      7.013456435954391
0.013765327783755521      7.077424750193297
0.014136257987035697      7.079637792790301
0.017553997922018075      7.244082284507732
0.018172641971974587      7.277039715370253
0.018738983139423113      7.307210780415007
0.019688257946579454      7.357782120798209
0.021351937627606427      7.446412421321899
0.021523627316958834      7.455558958926258
0.0228608127575508        7.526795717304173
0.025162825721362837      7.6494323661247785
0.025493256711899594      7.667035633344784
0.02565990410279792       7.675913549271298
0.02574937332732541       7.6806799020421614
0.02754898354312702       7.776551719238087
0.029113012178057066      7.8598732441219665
0.029462886106840357      7.890797319635449
0.029462886106840357      7.878512307763307
0.029804954125763197      7.896880291619065
0.03132781716273911       7.9239612599539075
0.032463193623512146      7.944151581234127
0.033344757574271626      7.959828372157531
0.033631604937200174      7.9649293590248895
0.03589603053950319       8.005197483303709
0.03705249689089112       8.02576284465389
0.037226629041702895      8.028859424679613
0.03739287416718322       8.031815750277937
0.03750757687663949       8.033855500647658
0.040464243916267274      8.086433706653505
0.04110850050913417       8.097890477201684
0.04475234223225675       8.170989717630736
0.0449516821514532        8.13957209483556
0.044970500437398336      8.098188880623255
0.04502294298557543       8.123182992250637
0.045315011675063355      8.151397760516584
0.04926364229419429       8.121938542529849
0.049500473794055325      8.11973323284537
0.049719709378403         8.117691771478837
0.05281645703251788       8.08885571041429
0.053264397945030496      8.084684608035523
0.053557900536727494      8.081951592755598
0.05388036378429964       8.078948903826229
0.054473528855142596      8.07342551409137
0.05450995471732923       8.073086326497268
0.05454625281245307       8.072748328634857
0.055352989855230114      8.065236215532058
