% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 18 2025, 12:45
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
-0.060681821373015594     5.996300166014715
-0.06001951481645687      6.109252587079087
-0.0584384354693299       6.378896211144634
-0.05561237030267728      6.860864718776033
-0.05415984848859553      7.108583624658254
-0.0540164876060366       7.13303296554217
-0.05163636078064941      7.53894935683475
-0.05059779866141337      7.716069913217247
-0.04930091917044177      7.937244952001548
-0.04801346039561631      8.156813344005247
-0.04509715858421316      8.654171171570713
-0.04483428609196893      8.733759807578473
-0.04368988970879426      9.126474031745527
-0.04317094268052739      9.291691190400343
-0.03957113036689148      10.116631932642434
-0.0391894291025318       10.192269784666056
-0.03861401491830706      10.340390389443561
-0.038475478906049985     10.376051724324677
-0.03835039811873337      10.408249474000147
-0.0375841518516636       10.605493239618813
-0.037218682174795216     10.699570846757606
-0.03705889157866809      10.740703443737287
